Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
84,6,Terminal Swing,24.4%,9.53 (Accurate ),137.1 (Inaccurate ),45.61 (Accurate ),46.1 (Accurate ),75.0 % ,Good
85,6,Terminal Swing,24.71%,7.77 (Accurate ),146.72 (Inaccurate ),42.77 (Accurate ),56.07 (Inaccurate ),50.0 % ,Satisfactory
86,7,Terminal Stance,75.58%,7.31 (Accurate ),142.71 (Inaccurate ),40.78 (Accurate ),63.63 (Accurate ),75.0 % ,Good
87,7,Terminal Stance,75.86%,5.78 (Accurate ),142.51 (Inaccurate ),32.02 (Inaccurate ),71.26 (Accurate ),50.0 % ,Satisfactory
88,7,Terminal Stance,76.14%,6.11 (Accurate ),119.6 (Inaccurate ),25.86 (Inaccurate ),64.39 (Accurate ),50.0 % ,Satisfactory
89,7,Terminal Stance,76.4%,6.29 (Accurate ),133.16 (Inaccurate ),21.56 (Inaccurate ),75.06 (Inaccurate ),25.0 % ,Should Improve
90,7,Terminal Stance,76.67%,4.25 (Accurate ),125.48 (Inaccurate ),13.61 (Inaccurate ),75.99 (Inaccurate ),25.0 % ,Should Improve
91,7,Terminal Stance,76.92%,2.5 (Inaccurate ),111.88 (Inaccurate ),13.78 (Inaccurate ),75.33 (Inaccurate ),0.0 % ,Should Improve
92,7,Terminal Stance,77.17%,1.87 (Inaccurate ),96.75 (Inaccurate ),21.38 (Inaccurate ),73.11 (Accurate ),25.0 % ,Should Improve
93,7,Terminal Stance,77.42%,0.28 (Inaccurate ),69.84 (Accurate ),29.52 (Inaccurate ),68.51 (Accurate ),50.0 % ,Satisfactory
94,7,Terminal Stance,77.66%,-0.75 (Inaccurate ),68.41 (Accurate ),30.34 (Inaccurate ),67.1 (Accurate ),50.0 % ,Satisfactory
95,7,Terminal Stance,77.89%,-2.49 (Inaccurate ),48.79 (Accurate ),37.89 (Accurate ),63.84 (Accurate ),75.0 % ,Good
96,7,Terminal Stance,78.12%,-2.07 (Inaccurate ),31.54 (Inaccurate ),48.01 (Accurate ),59.16 (Accurate ),50.0 % ,Satisfactory
97,7,Terminal Stance,78.35%,-1.25 (Inaccurate ),16.65 (Inaccurate ),52.56 (Accurate ),54.15 (Accurate ),50.0 % ,Satisfactory
98,7,Terminal Stance,78.06%,-1.08 (Inaccurate ),10.39 (Inaccurate ),58.32 (Inaccurate ),49.41 (Accurate ),25.0 % ,Should Improve
99,7,Terminal Stance,77.78%,-0.5 (Inaccurate ),8.33 (Inaccurate ),60.18 (Inaccurate ),48.76 (Accurate ),25.0 % ,Should Improve
100,7,Terminal Stance,77.5%,-0.61 (Inaccurate ),16.35 (Inaccurate ),67.65 (Inaccurate ),48.58 (Accurate ),25.0 % ,Should Improve
101,7,Terminal Stance,77.23%,-0.57 (Inaccurate ),24.72 (Inaccurate ),75.23 (Inaccurate ),47.21 (Accurate ),25.0 % ,Should Improve
102,7,Terminal Stance,76.96%,0.7 (Inaccurate ),37.09 (Accurate ),88.31 (Inaccurate ),44.38 (Accurate ),50.0 % ,Satisfactory
103,7,Terminal Stance,76.7%,3.46 (Inaccurate ),39.64 (Accurate ),103.86 (Accurate ),37.63 (Accurate ),75.0 % ,Good
104,7,Terminal Stance,76.44%,5.35 (Accurate ),40.36 (Accurate ),109.17 (Accurate ),38.46 (Accurate ),100.0 % ,Good
105,7,Terminal Stance,76.19%,7.71 (Accurate ),47.2 (Accurate ),123.51 (Accurate ),34.91 (Accurate ),100.0 % ,Good
106,7,Terminal Stance,75.94%,10.82 (Accurate ),66.76 (Accurate ),129.17 (Accurate ),39.78 (Accurate ),100.0 % ,Good
107,7,Terminal Stance,75.7%,14.08 (Accurate ),73.77 (Accurate ),139.8 (Inaccurate ),39.12 (Accurate ),75.0 % ,Good
108,7,Terminal Stance,75.93%,15.85 (Accurate ),42.25 (Accurate ),148.71 (Inaccurate ),5.32 (Inaccurate ),50.0 % ,Satisfactory
109,7,Terminal Stance,76.15%,18.85 (Accurate ),21.71 (Inaccurate ),140.27 (Inaccurate ),16.09 (Inaccurate ),25.0 % ,Should Improve
110,7,Terminal Stance,76.36%,21.97 (Inaccurate ),16.94 (Inaccurate ),132.03 (Inaccurate ),20.76 (Inaccurate ),0.0 % ,Should Improve
